"BehaviorSpace results (NetLogo 5.2.1)"
"Risk_Attack_model.nlogo"
"experiment2"
"04/14/2017 00:06:15:145 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","farm-size","distance-btw-households","price","Number-of-Farmers","average-node-degree","social-influence","damage","labor_fencing","N","[step]","sum [domain] of patches","mean [income] of farmers","sum [count_total_attacks] of farmers","N / A"
"3","32","20","2.5","100","1","true","0.4","0.3","700","100","9706.199999999973","2751.8136363636363","126","0.07258399004562403"
"2","32","20","2.5","100","1","true","0.4","0.3","700","100","9606.599999999986","2624.0363636363636","120","0.07254487418646088"
"1","32","20","2.5","100","1","true","0.4","0.3","700","100","9662.999999999976","2636.0318181818184","126","0.0730734701547069"
"4","32","20","2.5","100","1","true","0.4","0.3","700","100","9563.199999999975","2657.7363636363634","116","0.07335296398369456"
"5","32","20","2.5","100","1","true","0.4","0.3","700","100","9745.99999999999","2664.3045454545454","135","0.07225806451612923"
"6","32","20","2.5","100","1","true","0.4","0.3","700","100","9660.299999999997","2696.55","128","0.07224314980133127"
"7","32","20","2.5","100","1","true","0.4","0.3","700","100","9694.000000000015","2649.9954545454543","122","0.07230882064313536"
"8","32","20","2.5","100","1","true","0.4","0.3","700","100","9760.999999999967","2700.5545454545454","148","0.07214040584131172"
"9","32","20","2.5","100","1","true","0.4","0.3","700","100","9657.49999999999","2665.2045454545455","136","0.07221184893281209"
"10","32","20","2.5","100","1","true","0.4","0.3","700","100","9548.099999999984","2721.586363636364","115","0.07379218013725342"
"11","32","20","2.5","100","2","true","0.4","0.3","700","100","9514.899999999992","2586.7363636363634","130","0.07361137400887541"
"12","32","20","2.5","100","2","true","0.4","0.3","700","100","9570.299999999957","2611.831818181818","127","0.07392153756798132"
"13","32","20","2.5","100","2","true","0.4","0.3","700","100","9521.09999999999","2555.990909090909","150","0.07374631268436596"
"14","32","20","2.5","100","2","true","0.4","0.3","700","100","9448.099999999964","2647.340909090909","116","0.0744324525493115"
"15","32","20","2.5","100","2","true","0.4","0.3","700","100","9425.699999999968","2694.490909090909","118","0.07468897377350028"
"16","32","20","2.5","100","2","true","0.4","0.3","700","100","9299.499999999982","2576.268181818182","99","0.07542371968235806"
"17","32","20","2.5","100","2","true","0.4","0.3","700","100","9513.79999999995","2637.0636363636363","133","0.07406623637710279"
"18","32","20","2.5","100","2","true","0.4","0.3","700","100","9436.19999999998","2571.0409090909093","126","0.07483909594372101"
"19","32","20","2.5","100","2","true","0.4","0.3","700","100","9470.599999999962","2657.1545454545453","122","0.07433602004948679"
"20","32","20","2.5","100","2","true","0.4","0.3","700","100","9561.599999999991","2612.663636363636","116","0.0731972561485696"
"21","32","20","2.5","100","3","true","0.4","0.3","700","100","9457.599999999975","2660.859090909091","128","0.07437077016244725"
"22","32","20","2.5","100","3","true","0.4","0.3","700","100","9431.699999999992","2658.1545454545453","106","0.07495850511324104"
"23","32","20","2.5","100","3","true","0.4","0.3","700","100","9471.299999999968","2734.559090909091","124","0.07490797020803017"
"24","32","20","2.5","100","3","true","0.4","0.3","700","100","9522.200000000015","2654.35","121","0.07362143856290955"
"25","32","20","2.5","100","3","true","0.4","0.3","700","100","9407.499999999962","2660.6318181818183","95","0.07475597513829844"
"26","32","20","2.5","100","3","true","0.4","0.3","700","100","9409.499999999982","2548.0545454545454","116","0.07501634284612012"
"27","32","20","2.5","100","3","true","0.4","0.3","700","100","9406.900000000005","2722.0045454545457","113","0.07449661572517152"
"28","32","20","2.5","100","3","true","0.4","0.3","700","100","9301.09999999997","2628.668181818182","108","0.07536606373815652"
"29","32","20","2.5","100","3","true","0.4","0.3","700","100","9454.099999999997","2661.3818181818183","115","0.07456962672575435"
"30","32","20","2.5","100","3","true","0.4","0.3","700","100","9414.599999999973","2663.0227272727275","110","0.07467224219408365"
"31","32","20","2.5","100","4","true","0.4","0.3","700","100","9311.099999999979","2736.1136363636365","111","0.07553440592189727"
"32","32","20","2.5","100","4","true","0.4","0.3","700","100","9446.999999999944","2722.2181818181816","125","0.07496091323809723"
"34","32","20","2.5","100","4","true","0.4","0.3","700","100","9410.599999999975","2490.7181818181816","111","0.07490396241961214"
"33","32","20","2.5","100","4","true","0.4","0.3","700","100","9409.699999999957","2557.45","132","0.07517424315645929"
"35","32","20","2.5","100","4","true","0.4","0.3","700","100","9342.399999999989","2573.440909090909","113","0.07549286053233249"
"36","32","20","2.5","100","4","true","0.4","0.3","700","100","9306.799999999988","2659.4863636363634","117","0.07569695265696302"
"38","32","20","2.5","100","4","true","0.4","0.3","700","100","9406.79999999998","2708.4545454545455","115","0.07538229592935601"
"37","32","20","2.5","100","4","true","0.4","0.3","700","100","9305.499999999985","2590.5409090909093","110","0.07599196656353478"
"39","32","20","2.5","100","4","true","0.4","0.3","700","100","9411.200000000013","2681.9545454545455","108","0.07516455669018256"
"40","32","20","2.5","100","4","true","0.4","0.3","700","100","9414.099999999971","2503.6545454545453","115","0.07482149728504849"
"41","32","20","2.5","100","5","true","0.4","0.3","700","100","9467.600000000008","2563.827272727273","115","0.0746300481896881"
"42","32","20","2.5","100","5","true","0.4","0.3","700","100","9394.999999999973","2730.1136363636365","107","0.07478073221019801"
"43","32","20","2.5","100","5","true","0.4","0.3","700","100","9374.59999999998","2631.6227272727274","122","0.07509520999839096"
