"BehaviorSpace results (NetLogo 5.2.1)"
"Risk_Attack_model.nlogo"
"experiment1"
"04/06/2017 13:49:04:546 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","farm-size","distance-btw-households","price","Number-of-Farmers","average-node-degree","social-influence","damage","labor_fencing","N","[step]","sum [domain] of patches","mean [income] of farmers","sum [count_total_attacks] of farmers","N / A"
"49","32","20","2.5","100","7","false","0.3","0.5","700","100","10170.2","1347.1727272727273","166","0.06886781315178465"
"50","32","20","2.5","100","7","false","0.3","0.5","700","100","10134.1","1172.8613636363636","153","0.06893902835363748"
"51","32","20","2.5","100","7","false","0.35","0.5","700","100","9620.4","1081.9193181818182","146","0.07264651244849857"
"52","32","20","2.5","100","7","false","0.35","0.5","700","100","9587.900000000005","911.146590909091","155","0.0731032322071952"
"53","32","20","2.5","100","7","false","0.35","0.5","700","100","9633.49999999997","1357.9113636363636","137","0.07278474431759083"
"54","32","20","2.5","100","7","false","0.35","0.5","700","100","9641.699999999997","1524.771590909091","125","0.07295314323828561"
"55","32","20","2.5","100","7","false","0.35","0.5","700","100","9561.400000000007","1794.8670454545454","145","0.07338295418806967"
"56","32","20","2.5","100","7","false","0.35","0.5","700","100","9552.500000000015","1459.4625","129","0.07346613211309577"
"57","32","20","2.5","100","7","false","0.35","0.5","700","100","9580.299999999994","1242.490909090909","134","0.07278550112817524"
"58","32","20","2.5","100","7","false","0.35","0.5","700","100","9690.900000000007","1768.9204545454545","107","0.07214263629805205"
"59","32","20","2.5","100","7","false","0.35","0.5","700","100","9623.300000000014","1726.9147727272727","133","0.07294326056374702"
"60","32","20","2.5","100","7","false","0.35","0.5","700","100","9669.599999999986","1817.7193181818182","158","0.07276053468598606"
"61","32","20","2.5","100","7","false","0.4","0.5","700","100","9442.69999999996","1402.418181818182","105","0.07423590048147266"
"62","32","20","2.5","100","7","false","0.4","0.5","700","100","9435.699999999964","1609.7363636363636","116","0.0745394526674472"
"63","32","20","2.5","100","7","false","0.4","0.5","700","100","9443.899999999969","1518.6454545454546","108","0.07411878064017434"
"64","32","20","2.5","100","7","false","0.4","0.5","700","100","9296.199999999977","1506.05","138","0.07521867142335194"
"65","32","20","2.5","100","7","false","0.4","0.5","700","100","9560.899999999987","1458.3136363636363","126","0.07348772754949907"
"66","32","20","2.5","100","7","false","0.4","0.5","700","100","9509.699999999964","2250.327272727273","118","0.07375019754517181"
"67","32","20","2.5","100","7","false","0.4","0.5","700","100","9499.500000000011","1842.0727272727272","135","0.0739801310505176"
"68","32","20","2.5","100","7","false","0.4","0.5","700","100","9483.49999999997","2285.8454545454547","129","0.07374942054026695"
"69","32","20","2.5","100","7","false","0.4","0.5","700","100","9421.299999999963","1088.7727272727273","110","0.07494967664568059"
"70","32","20","2.5","100","7","false","0.4","0.5","700","100","9401.79999999997","1256.15","113","0.07456247803069811"
"71","32","20","2.5","100","7","true","0.1","0.5","700","100","10201","1666.418181818182","158","0.06862072345848447"
"72","32","20","2.5","100","7","true","0.1","0.5","700","100","10201","2010.2772727272727","129","0.06862072345848447"
"73","32","20","2.5","100","7","true","0.1","0.5","700","100","10201","1477.0886363636364","143","0.06862072345848447"
"74","32","20","2.5","100","7","true","0.1","0.5","700","100","10201","1631.965909090909","145","0.06862072345848447"
"75","32","20","2.5","100","7","true","0.1","0.5","700","100","10201","1396.2727272727273","127","0.06862072345848447"
"76","32","20","2.5","100","7","true","0.1","0.5","700","100","10201","1293.2204545454545","162","0.06862072345848447"
"77","32","20","2.5","100","7","true","0.1","0.5","700","100","10201","1440.709090909091","151","0.06862072345848447"
"78","32","20","2.5","100","7","true","0.1","0.5","700","100","10201","2276.0977272727273","141","0.06862072345848447"
"79","32","20","2.5","100","7","true","0.1","0.5","700","100","10201","1341.2295454545454","157","0.06862072345848447"
"80","32","20","2.5","100","7","true","0.1","0.5","700","100","10201","1506.215909090909","147","0.06862072345848447"
"81","32","20","2.5","100","7","true","0.15","0.5","700","100","10196.199999999999","1506.3454545454545","128","0.06865706775471771"
"82","32","20","2.5","100","7","true","0.15","0.5","700","100","10199","967.825","145","0.06864023690687482"
"83","32","20","2.5","100","7","true","0.15","0.5","700","100","10185.399999999998","1619.8897727272727","164","0.06874472138746489"
"84","32","20","2.5","100","7","true","0.15","0.5","700","100","10201","1550.9602272727273","144","0.06862072345848447"
"85","32","20","2.5","100","7","true","0.15","0.5","700","100","10201","1985.721590909091","136","0.06862072345848447"
"86","32","20","2.5","100","7","true","0.15","0.5","700","100","10201","1369.7113636363636","152","0.06862072345848447"
"87","32","20","2.5","100","7","true","0.15","0.5","700","100","10201","1876.8420454545455","130","0.06862072345848447"
